National Assembly,Name of Candidate,Party Affiliation,Symbol Allocated,Number of Votes Polled,Number of Voters Polled ,Rejected Votes,Casted Men ,Casted Women ,Registered Males,Registered Females ,Total Voters Registered ,Turnout %
,Syed Sagheer Abbas,IND,Aeroplane (2),"1,707",,,,,,,,
,Tahir Nadeem,IND,Clock (60),"1,413",,,,,,,,
,Sardar Wali Ahmadzal,IND,Peacock (194),881,,,,,,,,
,Riaz Ahmed Jan,PML,Tractor (292),419,,,,,,,,
,Jamil Badshah,PMML,Chair (55),317,,,,,,,,
,Farhan Qadeer,IND,Lunch Box (170),145,,,,,,,,
,Saeed Khan,IND,Dove (88),118,,,,,,,,
,Shandana Gulzar Khan,IND-PTI,Bowl (34),"78,971",,,,,,,,
,Nasir Khan,JUIF,Book (31),"20,950",,,,,,,,
,Zain Umar Arbab,ANP,Lantern (162),"11,854",,,,,,,,
,Kashif Azam,JIP,Scale (232),"5,355",,,,,,,,
,Misbah Ud Din,PPPP,Arrow (12),"4,555",,,,,,,,
,Raees Khan,PML-N,Tiger (284),"3,508",,,,,,,,
,Zahir Shah,TLP,Crane (71),"3,278",,,,,,,,
,Gul Wazir,IND,Clock (60),"1,581",,,,,,,,
,Khalid Waqar,IND,Aeroplane (2),981,,,,,,,,
,Saeed Ahmad,IND,Pomegranate (208),436,,,,,,,,
,Arbab Mohammad Haleem,PTIP,Turban (305),202,,,,,,,,
,Basmeeda,PMML,Chair (55),107,,,,,,,,
,Pir Zada Nabi Amin,IND,Dove (88),84,,,,,,,,
,Fahim Ahmad,IND,Transformer (294),76,,,,,,,,
,Ghulam Haider Khan,IND,Peacock (194),56,,,,,,,,
,Sher Ali Arbab,IND-PTI,Traffic Signal,"82,985",,,,,,,,
,Arbab Alamgir Khan,PPPP,Arrow (12),"22,543",,,,,,,,
,Muhammad Saeed Jan,JUIF,Book (31),"14,560",,,,,,,,
,Syed Haroon Shah,ANP,Lantern (162),"10,101",,,,,,,,
,Imdad Khan,JIP,Scale (232),"5,094",,,,,,,,
,Sobia Shahid,PML-N,Tiger (284),"3,287",,,,,,,,
,Sher Ali,IND,Cricket Stumps (73),"1,100",,,,,,,,
,Muhammad Saleem Akhtar Durrani,PTIP,Turban (305),710,,,,,,,,
,Fida Muhammad,TDP,Waist Coat (314),691,,,,,,,,
,Yawar Aftab,PMML,Chair (55),688,,,,,,,,
,Khalid Masood,IND,Peacock (194),284,,,,,,,,
,Sohail Wahab,MOTP,Pitcher (204),219,,,,,,,,
,Fayaz Khan Khalil,IND,Medal (173),213,,,,,,,,
,Rizwan Ullah,IND,LapTop (163),126,,,,,,,,
,Muhammad Atif,IND,Newspaper,124,,,,,,,,
,Syed Muhammad Shakeel Ali Shah,TJP,Sun Flower (266),92,,,,,,,,
,Ilyas Khan,IND,Guitar (127),61,,,,,,,,
,Jamshaid Khan,IND,Radio (215),51,,,,,,,,
,Fakhr E Alam,IND,Parachute (192),51,,,,,,,,
,Jalal Ud Din,IND,Door (87),49,,,,,,,,
,Muhammad Iftikhar Hussain Khan,IND,Study Table with chair (263),46,,,,,,,,
,Asif Khan Son of Ghulam Jan,IND,Wheel BArrow (12),"122,792",,,,,,,,
,Haji Ghulam Ahmad Bilour,ANP,Lantern (162),"45,846",,,,,,,,
,Hussain Ahmad Madni,JUIF,Book (31),"17,665",,,,,,,,
,Abid Ullah khna,PPPP,Arrow (12),"10,520",,,,,,,,
,Tariq Mateen,JIP,Scale (232),"5,807",,,,,,,,
,Sher Rehman,PML-N,Tiger (284),"4,814",,,,,,,,
,Asif Khan Son of Muhammad Ismail Khan,IND,Racket (214),"4,128",,,,,,,,
,Ubaid Ullah,TLP,Crane (71),"1,774",,,,,,,,
,Zain Ullah,PMML,Chair (55),"1,765",,,,,,,,
,Sher Afzal Khan,IND,Badge (16),"1,551",,,,,,,,
,Akhtar Hameed,IND,Peacock (194),666,,,,,,,,
,Javed Naseem,IND,Pomegranate (208),482,,,,,,,,
,Sher Afzal,IND,Tooth Brush (287),388,,,,,,,,
,Samad Mursaleen,IND,Aeroplane (2),376,,,,,,,,
,Abdul Waheed Khan,PTIP,Turban (305),324,,,,,,,,
,Zahoor Qadir,IND,Brinjal (37),305,,,,,,,,
,Syed Qasim Ali Shah,IND,Dove (88),264,,,,,,,,
,Muhammad Ashfaq,IND,Wheel Chair (325),249,,,,,,,,
,Muhammad Saqqaf Yasir,IND,Clock (60),184,,,,,,,,
,Ilyas Muhammad,IND,Electric Heater (94),171,,,,,,,,
,Khalid Masood,IND,Transformer (294),144,,,,,,,,
,Aftab Khurram,TJP,Sun Flower (266),117,,,,,,,,
,Muhammad Rizwan Khan,IND,Stabilizer (256),80,,,,,,,,
,Irfan Saleem,IND,Sickle (246),41,,,,,,,,
,Malik Nayab Gul Khalil,IND,Water Tank,37,,,,,,,,
,Syed Shah Ahad Ali Shah,IND-PTI,Printer (210),"93,429",,,,,,,,
,Pervez Khattak,PTIP,Turban (305),"26,574",,,,,,,,
,Khan Parvez,ANP,Lantern (162),"24,561",,,,,,,,
,Ikhtiar Wali,PML-N,Tiger (284),"21,361",,,,,,,,
,Ijaz Ul Haq,JUIF,Book (31),"19,986",,,,,,,,
,Inayat Ur Rehman,JIP,Scale (232),"2,707",,,,,,,,
,Malak Fayaz Ur Rahman,IND,Clock (60),"2,537",,,,,,,,
,Saleem Ullah Khan,PPPP,Arrow (12),"2,516",,,,,,,,
,Khalid Akhtar,IND,LapTop (163),"2,152",,,,,,,,
,Nadia Ambreen Khattak,IND,Medal (173),546,,,,,,,,
,Irshad Ali,IND,Human Eye (142),340,,,,,,,,
,Mian Sarwar Muzaffar Shah,IND,Charpai (56),124,,,,,,,,
,Parzada Nabi Amin,IND,Kettle (153),1,,,,,,,,
,Zulfiqar Ali,IND-PTI,Clock (60),"95,692",,,,,,,,
,Imran Khattak,PTIP,Turban (305),"32,698",,,,,,,,
,Pervaiz Khan Khattak,JUIF,Book (31),"26,055",,,,,,,,
,Mian Babar Shah Kaka Khel,ANP,Lantern (162),"22,472",,,,,,,,
,Ikram Ullah,TLP,Crane (71),"8,460",,,,,,,,
,Muhammad Sikandar Asad,JIP,Scale (232),"4,475",,,,,,,,
,Muhammad Idrees Khattak,PPPP,Arrow (12),"4,157",,,,,,,,
,Muhammad Kashif,PML-N,Tiger (284),"4,068",,,,,,,,
,Amjad Hussain,IND,Dove (88),"4,012",,,,,,,,
,Mufti Muhammad Sajjad,IND,Badge (16),"1,902",,,,,,,,
,Mohammad Saad Khattak,PAAM,Flower Pot,"1,256",,,,,,,,
,Shah Faisal,IND,LapTop (163),866,,,,,,,,
,Haji Akbar,IND,Aeroplane (2),746,,,,,,,,
,Ishfaq Ahmed,IND,Battery (21),401,,,,,,,,
,Nadia Ambreen Khattak,IND,Cricket Stumps (73),387,,,,,,,,
,Nisar Ahmad Khattak,BPP,Pen (195),181,,,,,,,,
,Ibne Amin,IND,Sheep (241),169,,,,,,,,
,Perzada Nabi Amin,IND,Kettle (153),98,,,,,,,,
,Shehryar Afridi,IND-PTI,Bottle (32),"128,491",,,,,,,,
,Abbas Afridi,PML-N,Tiger (284),"57,184",,,,,,,,
,Gohar Muhammad Khan Bangash,JUIF,Book (31),"44,278",,,,,,,,
,Muhammad Ishfaq,PRHP,Iron (147),"2,945",,,,,,,,
,Zia Ul Islam,IND,LapTop (163),"1,725",,,,,,,,
,Muhammad Hayat,IND,Clock (60),"1,210",,,,,,,,
,Noor Aslam,ANP,Lantern (162),"1,175",,,,,,,,
,Najeeb Ullah Durrani,TLP,Crane (71),"1,105",,,,,,,,
,Akbar Jan,IND,Slate (248),689,,,,,,,,
,Fawad Ullah Khan,IND,Aeroplane (2),686,,,,,,,,
,Asiya Asad,PTIP,Turban (305),564,,,,,,,,
,Syed Majid Falook Bukhari,IND,Feather (102),459,,,,,,,,
,Faheem Shah,IND,Lotus (168),388,,,,,,,,
,Bahadur Janan,IND,Brick (35),313,,,,,,,,
,Nighat Parveen Afridi,IND,Racket (214),305,,,,,,,,
,Lal Saeed Afridi,IND,Peacock (194),271,,,,,,,,
,Sher Rehman,IND,Study Table with chair (263),144,,,,,,,,
,Farooq Zaman Shinwari,IND,Cricket Stumps (73),132,,,,,,,,
,Yousaf Khan,IND-PTI,Bee (24),"73,076",,,,,,,,
,Ubaid Ullah,JUIF,Book (31),"34,324",,,,,,,,
,Abdul Hadi,IND,Clock (60),"8,679",,,,,,,,
,Shaban Ali,IND,Transformer (294),"6,064",,,,,,,,
,Syed Ghazi Gulab Jamal,IND,Aeroplane (2),"5,252",,,,,,,,
,Malik Syed Noor Akbar,PPPP,Arrow (12),"1,318",,,,,,,,
,Abdullah,IND,Match Box (172),"1,166",,,,,,,,
,Ulfat Hussain,IND,Charpai (56),686,,,,,,,,
,Afrasiab,JIP,Scale (232),660,,,,,,,,
,Malak Mumtaz Khan,IND,Audio Cassette (13),573,,,,,,,,
,Aurangzeb Khan,IND,Air Conditioner (3),246,,,,,,,,
,Muhammad Ibrahim Khan,IND,Dove (88),246,,,,,,,,
,Akhtar Munir Bangash,IND,Swallow (267),181,,,,,,,,
,Shaheed Khan,IND,Still Camera (261),173,,,,,,,,
,Aziz Ahmed,IND,Brick (35),152,,,,,,,,
,Sher Nawaz Orakzai,IND,Air Cooler (4),125,,,,,,,,
,Alhaj Muhammad Farid Mufakkar,PML-N,Tiger (284),107,,,,,,,,
,Abid Wazir,BPP,Pen (195),80,,,,,,,,
,Misal Khan,IND,Baby Cot (15),76,,,,,,,,
,Akbar Munir Bangash,IND,Swallow (267),1,,,,,,,,
,Akhonzada Muhammad Akram Khan,IND,Bee (24),1,,,,,,,,
,Hameed Hussain,MWMP,Tent (282),"58,650",,,,,,,,
,Sajid Hussain Turi,PPPP,Arrow (12),"54,384",,,,,,,,
,Asmat Ullah,JUIF,Book (31),"24,892",,,,,,,,
,Jamil Khan,IND,Aeroplane (2),"10,868",,,,,,,,
,Abdur Rasheed Khan,JIP,Scale (232),"1,245",,,,,,,,
,Syed Irshad Hussain,IND,Table (271),457,,,,,,,,
,Irfan Ullah,IND,Key With Lock (156),321,,,,,,,,
,Adil Muhammad,IND,LapTop (163),297,,,,,,,,
,Saif Ullah Khan,IND,Teapot (279),248,,,,,,,,
,Mehdi Hussain,IND,Peacock (194),243,,,,,,,,
,Abid Rehman,IND,Pomegranate (208),166,,,,,,,,
,Mir Afzal Khan Turi,IND,Still Camera (261),140,,,,,,,,
,Anwar Shah,IND,Fridge (113),129,,,,,,,,
,Muhammad Ullah,PML-N,Tiger (284),122,,,,,,,,
,Rasool Gul,IND,Carrom Board (54),94,,,,,,,,
,Atta Ullah Jan,IND,Sheep (241),84,,,,,,,,
,Waheed Ullah,IND,Parrot (193),80,,,,,,,,
,Karim Ullah,IND,Key Chain (155),72,,,,,,,,
,Muhammad Luqman,IND,Cricket Stumps (73),69,,,,,,,,
,Inayat Hussain Turi,IND,Tower (291),62,,,,,,,,
,Shahid Khan,IND,Bench (26),60,,,,,,,,
,Habib Malik,IND,Lotus (168),58,,,,,,,,
,Eid Nazar,PRHP,Iron (147),56,,,,,,,,
,Noor Muhammad,IND,Fork (109),56,,,,,,,,
,Muhammad Shoib,IND,Computer  (67),45,,,,,,,,
,Malik Rashid Ahmed Khan,IND,Mic (174),37,,,,,,,,
,Abdul Qadir,IND,Clock (60),28,,,,,,,,
,Wazir Jan,IND,Bed (23),22,,,,,,,,
