KPK Assembly,Name of candidate,Party Affiliation,Symbol allocated,Number of Votes Polled,Casted men,Casted Women,Rejected Votes,Number of Votes Polled,Registered Males,Registered Females,total voters registered,Turnout %
PK-103,Malik Alamzeb Khan,Jamaat-e-Islami Pakistan,Scale (232),82,,,,,,,,
PK-103,Yahya Khan,Independent,Door (87),3126,,,,,,,,
PK-104,Ashraf Ullah,Awami National Party,Lantern (162),1236,,,,,,,,
PK-104,Akbar Ali Khan,Jamt-e-Islami Pakistan,Scale (232),910,,,,,,,,
PK-104,Pir Muhammad Aqal Shah,Jamiat ulama-e-Islam Pakistan,Book (31),10422,,,,,,,,
PK-104,Jalat Khan,Independent,Peacock (194),474,,,,,,,,
PK-104,Hanif Ullah,Independent,Aeroplane (2),19,,,,,,,,
PK-104,Rehmat Ullah khan,National Democratic Movement,Mountain (180),9436,,,,,,,,
PK-104,Shoukat Amaan,Independent,Flower (291),550,,,,,,,,
PK-104,Safdar Zaman,Pakistan Muslim League (N),Tiger (284),39,,,,,,,,
PK-104,Adnan Khan,Independent,Suitcase (264),228,,,,,,,,
PK-104,Faseeh Ullah,Pashtoonkhwa National Awami Party Pakistan,Bunch of Graps (42),126,,,,,,,,
PK-104,Luqman Khan,Independent,Key Chain (155),12,,,,,,,,
PK-104,Muhammad Ullah,Independent,Cricket Stumps (73),1872,,,,,,,,
PK-104,Muhammad Noor Khan,Independent,Pomegranate (208),50,,,,,,,,
PK-104,Mansoor Khan,Pakistan tehreek-e-Insaf Parlimantarian,Turban (305),188,,,,,,,,
PK-104,Musa dutta,Independent,Bee (24),32,,,,,,,,
PK-104,Mir Kalaam Khan,Pashtoonkhwa National Awami Party Pakistan,Tree (295),1951,,,,,,,,
PK-104,Naik Ali Khan,Independent,Clock (60),7634,,,,,,,,
PK-104,Naik Muhammad Khan,Independent - PTI,Brick (35),11281,,,,,,,,
PK-104,Naik Marjan,Independent,Transformer (294),318,,,,,,,,
PK-105,Akhtar Munir Marwat,Independent,Goat (123),10,,,,,,,,
PK-105,Ishafaq Ahmad Khan,Independent,Aeroplane (2),22,,,,,,,,
PK-105,Imdadullah,Independent,Newspaper (183),126,,,,,,,,
PK-105,Amir Nawaz Khan,Independent,Pomegranate (208),24,,,,,,,,
PK-105,Inam Ullah Khan,Independent,Laptop (163),335,,,,,,,,
PK-105,Johar Muhammad,Independent - PTI,Phole Gobhi (199),36757,,,,,,,,
PK-105,Sher Afzal Khan,Independent,Hen (135),461,,,,,,,,
PK-105,Sher Ali Baz Khan,Independent,Sickle(246),2514,,,,,,,,
PK-105,Zafar Ullah Khan,Independent,Clock (60),14,,,,,,,,
PK-105,Abdul Haleem,Independent,Study Table with Chair (263),5,,,,,,,,
PK-105,Abdullah,Independent,Lotus (168),58,,,,,,,,
PK-105,Farmanullah Khan,Independent,Wall (315),6,,,,,,,,
PK-105,Fawad Ahmad,Independent,Air Cooler (4),259,,,,,,,,
PK-105,Faheemullah Khan,Pastoonkhwa Milli Awami party,Tree (295),169,,,,,,,,
PK-105,Qudrat Ullah Khan,Independent,Peacock (194),214,,,,,,,,
PK-105,Muhammad iqbal,Independent,Bed (23),8,,,,,,,,
PK-105,Muhammad Arif Khan,Independent,Dove (88),10,,,,,,,,
PK-105,Muhammad Mehtab Khan,Independent,Charpai (56),10,,,,,,,,
PK-105,Mansoor Kamal Marwat,Pakistan Muslim League (N),Tiger (284),28,,,,,,,,
PK-105,Munawar Khan 5/0 Habib 1 Ur Rehman,Independent,Brick (35),439,,,,,,,,
PK-105,Munawar Khan Shp Islam Pakistan Ghulam Sarwar Khan,Jamiat Ulama-E-Islam pakistan,Book (31),26122,,,,,,,,
PK-105,Nisar Ahmad Khan,Independent,Round Table(227),17,,,,,,,,
PK-105,Najid Ullah Khan,Independent,Transformer (294,19113,,,,,,,,
PK-105,Hidayatullah Khan,Independent,Door (87),2,,,,,,,,
PK-106,Usama Aslam,Independent,Air cooler (4),165,,,,,,,,
PK-106,Asghar ALi,Independent,Tap (277),19,,,,,,,,
PK-106,Insha Ullah,Mazloom Olsi Tehreek Pakistan,Pitcher (204),79,,,,,,,,
PK-106,Baseer Ullah,Independent,Aeroplane (2),52,,,,,,,,
PK-106,Sana Ullah Khan,Independent,Water Cooler (317),28,,,,,,,,
PK-106,Hayat ullah Khan,Independent,Cricket Stumps (73),8,,,,,,,,
PK-106,Saad Ullah Khan,Independent,Audio Cassette (13),81,,,,,,,,
PK-106,Sami Ullah,Independent,Match Box (172),269,,,,,,,,
PK-106,Syed Muhammad Ali Shah,Tehreek Labbaik Pakistan,Crane (71),1106,,,,,,,,
PK-106,Shahid Ullah,Independent,Suitcase (264),240,,,,,,,,
PK-106,Shaukat Ullah,Independent,Dove (88),51,,,,,,,,
PK-106,Tila Muhammad Khan,Independent,Table (271),29,,,,,,,,
PK-106,Imran Khan,Independent,Battery (21),237,,,,,,,,
PK-106,Muhammad Ismail,jamaat-e-Islami Pakistan,Scale (232),47,,,,,,,,
PK-106,Muhammad Ilyas Khan,Independent,Peacock (194),4511,,,,,,,,
PK-106,Muhammad Anwar,Jamiat Ulama-e-Islam Pakistan,Book (31),20730,,,,,,,,
PK-106,Muhammad Saleem Khan Marwat,Independent,Mic (174),31,,,,,,,,
PK-106,Muhammad Fawad Raza Zakori,Independent,Medal (173),23,,,,,,,,
PK-106,Muhammad Mamoon,Pakistan Muslim League (N),Tiger (173),210,,,,,,,,
PK-106,Nasir Jan,Tehreek-e-Tahafuz-e-Pakistan,Revolver (218),15,,,,,,,,
PK-106,Noor Saleem Malik,Independent - PTI,Brick (35),26900,,,,,,,,
PK-106,Naik Nawaz,Pakistan Peoples Party Parliamentarians,Arrow (12),113,,,,,,,,
PK-106,Hisham Inam Ullah Khan,Independent,Transformer (294),32268,,,,,,,,
PK-107,Ihsan Ullah Khan,Independent,Wheel Chair (325),4,,,,,,,,
PK-107,lqbal Hussain Shahid,Pakistan Peoples Party Parliamentarians,Arrow (12),22,,,,,,,,
PK-107,Amir Zada Khan,Independent,Peacock (194),444,,,,,,,,
PK-107,Anwar Zaman,Independent,Brick (35),81,,,,,,,,
PK-107,Anwar Saifullah Khan,Independent,Transformer (294),8746,,,,,,,,
PK-107,Anwar Ali Khan,Independent,Dolphin (85),10,,,,,,,,
PK-107,Hayat Ullah Khan,Independent,Phole Gobhi (199),35,,,,,,,,
PK-107,Khalid Usman Shah,Tehreek Labbaik Pakistan,Crane (71),20,,,,,,,,
PK-107,Daud Khan,Independent,Still Camera (261),21,,,,,,,,
PK-107,Bali Ullah Khan,Independent,Aeroplane (2),8,,,,,,,,
PK-107,Riaz Ullah Khan,Independent,Teapot (279),5,,,,,,,,
PK-107,Sabz Ali Khan,Independent,Suitcase (264),234,,,,,,,,
PK-107,Sahibzada Sibghat Ullah,Independent,Water Cooler (317),139,,,,,,,,
PK-107,Tariq Saeed,Independent - PTI,Oil Stove (184),34400,,,,,,,,
PK-107,Zafar Ullah Khan,Independent,Clock (60),7,,,,,,,,
PK-107,Irfan Ullah,Independent,Tower (291),7,,,,,,,,
PK-107,Ali Sarwar,Awami National Party,Lantern (162),2022,,,,,,,,
PK-107,Imran Ullah Khan,jamaat-e-Islami Pakistan,Scale (232),41,,,,,,,,
PK-107,Gul Razan Shah,Independent,Dove (88),43,,,,,,,,
PK-107,Muhammad Iqbal,Independent,Pineapple (203),17,,,,,,,,
PK-107,Muhammad Adnan,Independent,Parrot (193),29,,,,,,,,
PK-107,Muhammad Fawad Raza Zakori,Jamiat Ulama-e-Islam Pakistan,Book (31),21679,,,,,,,,
PK-107,Malik Noor Aslam Khan,Independent,Match Box (172),107,,,,,,,,
PK-107,Wasim Ullah,Independent,Chaipai (56),8,,,,,,,,
PK-108,Arshad Mansoor Shah,Independent,Wheel Chair (325),917,,,,,,,,
PK-108,Ikram Ullah,Independent,Medal (173),27,,,,,,,,
PK-108,Amir Nawaz,Independent,Clock (60),27,,,,,,,,
PK-108,Janzeba Azam,Pakistan Muslim League (N),Tiger (284),204,,,,,,,,
PK-108,Rehmat Khan,Independent,Lotus (168),32,,,,,,,,
PK-108,Sona Khan,Tehreek Labbaik Pakistan,Crane (71),1001,,,,,,,,
PK-108,Said Badshah,Independent,Badge (16),45,,,,,,,,
PK-108,Shamal Khan,Independent,Peacock (194),31,,,,,,,,
PK-108,Sher Bahadar Khan,Independent,Round Table(227),38,,,,,,,,
PK-108,Irfan Ullah Khan Kundi,Independent,Turban (305),8794,,,,,,,,
PK-108,Ghulam Badshah,Independent,Key Chain (155),42,,,,,,,,
PK-108,Ghulam Qadir Khan,Independent,Aeroplane (2),34,,,,,,,,
PK-108,Fatch Ullah,Independent,Racket (214),54,,,,,,,,
PK-108,Muhammad Ijaz,jamaat-e-Islami Pakistan,Scale (232),432,,,,,,,,
PK-108,Muhammad Usman,Independent - PTI,Cricket Stumps (73),42611,,,,,,,,
PK-108,Mehmood Ahmed Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),30770,,,,,,,,
PK-108,Mumtaz Khan,Independent,Dice (83),6,,,,,,,,
PK-108,Mewa Khan,Independent,Shuttle Cock (245),57,,,,,,,,
PK-108,Nisar Ahmad Khan,Independent,Kettle (153),25,,,,,,,,
PK-108,Naseer Ahmad,Mazloom Olsi Tehreek Pakistan,Pitcher (204),13,,,,,,,,
PK-108,Naqib Ullah,Rabta Jamiat Ullama-e-Islam (RJUI),Ring (220),34,,,,,,,,
PK-108,Nawabzada Abdul Wahab Khan,Independent,Tap (277),61,,,,,,,,
PK-108,Elidayat Ullah Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),168,,,,,,,,
PK-109,Asif Khan,Independent - PTI,Cricket Stumps (73),11519,,,,,,,,
PK-109,Ahmad Sher Khan,Jamiat Ulama-e-Islam Pakistan,Book (31),6699,,,,,,,,
PK-109,Afsar Khan,Independent,Dove (88),17,,,,,,,,
PK-109,Amin Gul,Independent,Radio (215),52,,,,,,,,
PK-109,Peer Muhammad Khan,Independent,Pomegranate (2081,187,,,,,,,,
PK-109,Hayat Ullah,Mazloom Oisi Tehrees Pakistan,Pitcher (204),95,,,,,,,,
PK-109,Sajeel Umar Burki,Pakistan Tehreek-eInsaf Parliamentarian IPTIP),Turban(303),53,,,,,,,,
PK-109,Saeed Anwar,Independent,Clock (601,7668,,,,,,,,
PK-109,Sher Muhammad,Independent,Medal (173),41,,,,,,,,
PK-109,Sabir Ahmad,Independent,Bowl (341,36,,,,,,,,
PK-109,Safdar Hussain,Independent,Transformer (294),175,,,,,,,,
PK-109,Alam Zaib,Independent,Key With Lock (156),6117,,,,,,,,
PK-109,Abdul Wasay,Independent,Parrot 11931,29,,,,,,,,
PK-109,Asam Ud Din,Independent,Match Box 1172),232,,,,,,,,
PK-109,Gul Badin,National Democratic Movement,Mountain (180),82,,,,,,,,
PK-109,Mahsool Khan,Independent,Aeroplane (2),19,,,,,,,,
PK-109,Muhammad Riaz,Independent,Carrom Board(54),189,,,,,,,,
PK-109,Muhammad Qazafi,Independent,Electric Heater (94),57,,,,,,,,
PK-109,Muhammad Nadeem,Independent,Suitcase (264),87,,,,,,,,
PK-109,Nasir Ali Mahsood,Independent,Charpai (56),26,,,,,,,,
PK-109,Wahid Khan,Independent,Peacock (194),7,,,,,,,,
PK-109,Yar Muhammad,Pakistan Muslim League (N),Tiger (284),53,,,,,,,,
PK-110,Iqbal Masood,Pashtoonkhwa National Awami Party,Bunch of Grapes (42),,,,,,,,,
PK-110,Allah Dad khan,Independent,Peacock (194),,,,,,,,,
PK-110,Anwar Khan Wald Sadr khan,Mazloom Olsi Tehreek Pakistan,Pitcher (204),,,,,,,,,
PK-110,Anwar Khan Wald Sadr khan,Independent,Parrot (193),,,,,,,,,
PK-110,Bakhtawar Khan,Independent,Charpai (56),,,,,,,,,
PK-110,Taj Muhammad,Independent,Key With Lock (156),,,,,,,,,
PK-110,Hafiz ul amin,Independent,Teapot (279),,,,,,,,,
PK-110,Hazrat Bilal,Independent,Tap (277),,,,,,,,,
PK-110,Khan zada,Independent,Nail Cutter (182),,,,,,,,,
PK-110,Khyal Muhammad Wazir,Independent,Clock (60),,,,,,,,,
PK-110,Siraj Ud din khan,Independent,Pomegranate (2081,,,,,,,,,
PK-110,sardar khan,Independent,Hand Pump (130),,,,,,,,,
PK-110,Shah ud din,Independent,Dove (88),,,,,,,,,
PK-110,Shaukat Ullah,Independent,Door (87),,,,,,,,,
PK-110,Sahib Khan,Independent,Radio (215),,,,,,,,,
PK-110,Alamgir khan,Independent,Aeroplane (2),,,,,,,,,
PK-110,ajab gul,Independent - PTI,Table (271),Election Postoned,,,,,,,,
PK-110,Imran Ullah,Pakistan Peoples Party Parliamentarians,Arrow (12),,,,,,,,,
PK-110,Ghulam hassan,Independent,Bowl (34),,,,,,,,,
PK-110,Ghulam Rusool,Independent,Key Chain (155),,,,,,,,,
PK-110,Gohar Khan,Independent,Calculator (47),,,,,,,,,
PK-110,Lal Marjan,Independent,Transformer (294),,,,,,,,,
PK-110,Muhammad Ayaz Khan,Awami National Party,Lantern (162),,,,,,,,,
PK-110,Muhammad Asghar khan,National democratic Movement,Mountain (180),,,,,,,,,
PK-110,Muhammad Iqbal Waziri,Independent,Match box (172),,,,,,,,,
PK-110,Muhammad Kashif,Pakistan Muslim League (N),Tiger (284),,,,,,,,,
PK-110,Malik Qaizar khan,Independent,Electric Heater (94),,,,,,,,,
PK-110,Malik Ma'araaj ud din,Independent,Laptop (163),,,,,,,,,
PK-110,Naseer ullah Khan,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),,,,,,,,,
PK-110,Naik muhammad,Jamiat ulama-e-Islam Pakistan,Book (31),,,,,,,,,
PK-111,Ehtesham Javed,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),37008,,,,,,,,
PK-111,Ishan Ullah,Independent,Aeroplane (2),198,,,,,,,,
PK-111,Akhtar Saeed,Independent,Clock (60),61,,,,,,,,
PK-111,Salman Javed than,Independent,Suitcase (264),433,,,,,,,,
PK-111,Sabir Raza Shah,Independent,Parachute (192),95,,,,,,,,
PK-111,Zamir Hussain,Independent,Dove(88),124,,,,,,,,
PK-111,Abdur Rashid,Independent,Match Box (172),866,,,,,,,,
PK-111,Abdul Wajid,Independent,Charpai (56),186,,,,,,,,
PK-111,Ghulam Yahya Khan,Independent,Kettle (153),27,,,,,,,,
PK-111,Fozia Gul,Jamaat-e-lslami Pakistan,Scale (232),270,,,,,,,,
PK-111,Kamran Zeeshan Shah,Independent - PTI,Queen (211),28281,,,,,,,,
PK-111,Mujahid Khan,Tehreek Labbaik Pakistan,Crane (71),3890,,,,,,,,
PK-111,Muhammad Saqlain,Independent,Phole Gobhf (199),145,,,,,,,,
PK-111,Muhammad Ali Raza,Independent,Swallow (267),5107,,,,,,,,
PK-111,Makhdoom Zada Mujtab Ul Hassan Shah,Independent,Fridge (113),378,,,,,,,,
PK-111,Makhdoom Zada Muhammad Aftab Haider,Jamiat Ulama-e-Islam Pakistan,Book (31),41052,,,,,,,,
PK-111,Makhdoom Zada Mushtaq Hussain Shah,Independent,Shower (244),142,,,,,,,,
PK-111,Malik Muhammad Zaman,Independent,Bowl (34),51,,,,,,,,
PK-112,Ahmad Kundi,Pakistan Peoples Party Parliamentarians,Arrow (12),33312,,,,,,,,
PK-112,Amin Ullah Khan,Independent,Suitcase ( 264),391,,,,,,,,
PK-112,Haji Muhammad Aqeel,Independent,Orange ( 188),37,,,,,,,,
PK-112,Sardar Abdul Haleem Qasuria,Independent,Match Box (1 72),608,,,,,,,,
PK-112,Sardar Hidayat Ullah Khan,Independent,Hand Pump (130),117,,,,,,,,
PK-112,Sami Ullah,Jamiat Ulama-e-Islam Pakistan,Book (31),25360,,,,,,,,
PK-112,Abdur Rahim,Awami National Party,Lantern (162),73,,,,,,,,
PK-112,Abdul Latif,Pakistan Rah-e-Haq Party,Iron ( 147),38,,,,,,,,
PK-112,Abdullah Jan,Jamaat-e-lslami Pakistan,Scale (232),264,,,,,,,,
PK-112,Ajab Khan,Sulaiman Khel Qabail Movement,Gate ( 117),312,,,,,,,,
PK-112,Ali Amin Khan,Independent - PTI,Queen (211),24781,,,,,,,,
PK-112,Faisal Amin Khan,Independent,Screw Driver (237),469,,,,,,,,
PK-112,Faiz Ullah Khan Niazi,Independent,Slate (248),998,,,,,,,,
PK-112,Muhammatl Khalid,Independent,Peacock (194),95,,,,,,,,
PK-112,Muhammad Shafiq Ul Haq,Tehreek Labbaik Pakistan,Crane (71 ),4994,,,,,,,,
PK-112,Muhammad Usman Khan Alizai,Independent,Brush (38),110,,,,,,,,
PK-112,Muhammad Yagoob Shaikh,Independent,Clock (60),455,,,,,,,,
PK-112,Mehmood Ali,Independent,Charpai (56),46,,,,,,,,
PK-112,Mehnaz Ali,Independent,Hand Bag (131),39,,,,,,,,
PK-112,Yahya Khan,Independent,Transformer (294),41,,,,,,,,
PK-113,Amin Ullah Khan,Independent,Fork (109),294,,,,,,,,
PK-113,Taimur Ali Khan,Awami National Party,Lantern (1G2),454,,,,,,,,
PK-113,Javed Imran,Independent,Aeroplane (2),4200,,,,,,,,
PK-113,Haji Muhammad Aqeel,Tehreek Labbaik Pakistan,Crane (71),1270,,,,,,,,
PK-113,Khuram Shehzad,Independent,Slate (248),445,,,,,,,,
PK-113,Rajab Ali Shah,Independent,Medal (173),30,,,,,,,,
PK-113,Rehan Malik,Independent,Magnifying Glass (1 71),17,,,,,,,,
PK-113,"Zahid Muhibullah Khan,",Jamaat-e-lslami Pakistan,scale (232),767,,,,,,,,
PK-113,Zain UI Nawaz,Independent,Feather (102),33,,,,,,,,
PK-113,Sirhaan Ahmed Khan,Pakistan Muslim League (N),Tiger 1284),744,,,,,,,,
PK-113,Syed Iqbal Hussain Shah,Independent,Study Table with Chair (263),24,,,,,,,,
PK-113,Syed Zafran Hussain Bukhari,Independent,Bottle (32),2,,,,,,,,
PK-113,Syed Najam Ul Hassan Shah,Independent,Peacock (194),21,,,,,,,,
PK-113,Adnan Khan,independent,Teapot (279),31,,,,,,,,
PK-113,Aziz Ullah Alizai,Pakistan Peoples Party Parliamentarians,Arrow ( 12),12440,,,,,,,,
PK-113,Ali Amin Khan,Independent - PTI,Queen (211 ),35454,,,,,,,,
PK-113,Farhan Afzal Malik,Independent,Transformer (294),47,,,,,,,,
PK-113,Faisal Amin Khan,Independent,Fridge (113),89,,,,,,,,
PK-113,Qayyoum Nawaz,Pakistan Tehreek-e- Insaf Parliamentarian (PTIP),Turban (305),1824,,,,,,,,
PK-113,Muhammad Ahmad Khan Alizai,Pakistan Muslim League,Tractor (292),24,,,,,,,,
PK-113,Muhammad Tanveer,Independent,Tap (277),1265,,,,,,,,
PK-113,Muhammad Saqib Bilal,Pakistan Rah-e-Haq Party,Iron (147),262,,,,,,,,
PK-113,Muhammad Junaid,Independent,Dove 188),227,,,,,,,,
PK-113,Muhammad Khalid Khan,Independent,Screw Driver (237),54,,,,,,,,
PK-113,Muhammad Shezad,Muttahida Qomi Movement Pakistan,Kite (159),73,,,,,,,,
PK-113,Muhammad Kafeel Ahmad,Jamiat Ulama-e-Islam Pakistan,Book (31),21885,,,,,,,,
PK-113,Malik Said Rasool,Independent,Swallow (267),70,,,,,,,,
PK-113,Malik Muhammad Kamran,Independent,Bed (23),27,,,,,,,,
PK-113,Mehnaz Ali,Independent,Hand Bag (131 ),15,,,,,,,,
PK-113,Naurang khan,Independent,Bowl (34),9,,,,,,,,
PK-114,Ehsan Ullah than,Independent,Newspaper (183),674,,,,,,,,
PK-114,Aman Ullah Khan,Jamhoori Wattan Party,Wheel (323),471,,,,,,,,
PK-114,Sana Ullah Wald Khuda Bakhsh,Independent,Door (87),154,,,,,,,,
PK-114,Sana Ullah Wald Ghulam Rusool,Independent,Battery (21),495,,,,,,,,
PK-114,Sana Ullah Wald Maik Bahawal,Jamaat-e-Islami Pakistan,Scale (232),1336,,,,,,,,
PK-114,Khalid Saleem,Pakistan Tehreek-e-Insaf Parliamentarian (PTIP),Turban (305),7887,,,,,,,,
PK-114,Zain Ul Nawaz,Tehreek Labbaik Pakistan,Crane (71),3345,,,,,,,,
PK-114,Sohail Ehsan than,Independent,Charpai (56),184,,,,,,,,
PK-114,Tallal Khan,Independent,Switches (269),472,,,,,,,,
PK-114,Atta Muhammad,Awami National Party,Lantern (162),201,,,,,,,,
PK-114,Qaizar Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),27606,,,,,,,,
PK-114,Lutf Ur Rehman,Jamiat Ulama-e-Islam Pakistan,Book (31),30291,,,,,,,,
PK-114,Muhammad Ismail,Independent - PTI,Fridge (113),5555,,,,,,,,
PK-114,Muhammad Bilal,Amun Taraqqi Party,Tyre (309),125,,,,,,,,
PK-114,Muhammad Hanif,Independent,Cricket Strumps (73),124,,,,,,,,
PK-114,Muhammad Sajeel,Independent,Rabab (212),721,,,,,,,,
PK-114,Mustafa Kundi,Independent,Peacock (194),79,,,,,,,,
PK-114,Mutee Ullah Khan,Independent,Tap (277),78,,,,,,,,
PK-114,Malik Barkat Ullah,Independent,Sharpener (240),93,,,,,,,,
PK-115,Aghaz Akram Ullah Gandapoor,Jamiat ulama-e-Islam Pakistan,Book (31),19865,,,,,,,,
PK-115,Ehsan Ullah Khan,Pakistan Peoples Party Parliamentarians,Arrow (12),3186,,,,,,,,
PK-115,Ameer Jan,"Pashtoonkhwa Milli 
Awami Party",Tree (295),1343,,,,,,,,
PK-115,Pir Gul,Independent,Lotus (168),46,,,,,,,,
PK-115,Hadis Ud Din,independent,Water Cooler (317),122,,,,,,,,
PK-115,Roshan Bibi,independent,Hand Bag (131),51,,,,,,,,
PK-115,Shahzeb Babar.,Independent,Hukkah (141),113,,,,,,,,
PK-115,Shahi Khan,Independent,Kettle (153),105,,,,,,,,
PK-115,Shoaib Nash,Independent,Nail Cutter (182),334,,,,,,,,
PK-115,Tallal Khan,Independent,Fridge (113),208,,,,,,,,
PK-115,Abdul Mateen Khan,Jamaat-e-Islami Pakistan,Scale (232),1793,,,,,,,,
PK-115,Adnan Khan,Pakistan Markazi Muslim League,Chair (55),409,,,,,,,,
PK-115,Umar Badsha,Independent,Clock (60),1187,,,,,,,,
PK-115,Inayat Ullah Khan,Independent,Newspaper(183),768,,,,,,,,
PK-115,Ghulam Allah Bakhsh,Independent,Radio (215),175,,,,,,,,
PK-115,Ghulam Farid,Independent,Bee (24),32,,,,,,,,
PK-115,Mehboob Gul,Rabita lamiat Ulma-eIslam (RJUI),Ring (220),1118,,,,,,,,
PK-115,Muhammad Akbar Khan,Independent,Parachute (192),35,,,,,,,,
PK-115,Muhammad Amin Jan,Independent,Transformer (294,76,,,,,,,,
PK-115,Muhammad Sohail,Independent,Dove (88),59,,,,,,,,
PK-115,Muhammad Faridoon Khan,Tehreek Labbaik Pakistan,Crane (71),6947,,,,,,,,
PK-115,Mati Ullah Khan Babar,Independent,Peacock (194),66,,,,,,,,
PK-115,Noor Ameen,Independent,Teapot (279),36,,,,,,,,
PK-115,Naurang Khan,Independent,Bowl (34),41,,,,,,,,
